,Area Code,Year,Life expectancy at birth (Both),Life expectancy at birth (Male),Life expectancy at birth (Female),Life expectancy at age 60 (Both),Life expectancy at age 60 (Male),Life expectancy at age 60 (Female),Healthy life expectancy at birth (Both),Healthy life expectancy at birth (Male),Healthy life expectancy at birth (Female),Healthy life expectancy at age 60 (Both),Healthy life expectancy at age 60 (Male),Healthy life expectancy at age 60 (Female)
269,89,2019,72.0,69.0,75.0,20.5,19.4,21.4,62.3,60.5,64.1,15.0,14.4,15.5
270,89,2015,70.9,67.8,74.0,19.9,18.8,20.8,61.5,59.6,63.4,14.6,14.1,15.1
271,89,2010,69.3,65.8,72.8,19.6,18.6,20.5,60.1,57.8,62.3,14.4,13.9,14.9
272,89,2000,66.8,63.3,70.3,19.1,18.1,20.1,57.8,55.6,60.1,14.1,13.6,14.6
273,90,2019,61.0,59.5,62.3,16.5,15.6,17.2,53.3,52.9,53.7,12.3,11.8,12.6
274,90,2015,58.8,57.3,60.1,15.9,14.8,16.6,51.5,51.1,51.9,11.9,11.3,12.2
275,90,2010,58.1,56.6,59.3,15.8,14.7,16.6,50.9,50.5,51.2,11.8,11.2,12.2
276,90,2000,54.3,53.1,55.3,15.7,15.0,16.3,47.5,47.3,47.8,11.7,11.4,12.0
277,175,2019,60.2,57.4,63.0,15.5,13.9,16.7,52.6,51.1,54.1,11.4,10.5,12.1
278,175,2015,58.2,55.5,60.8,15.0,13.4,16.3,50.9,49.5,52.3,11.0,10.0,11.8
279,175,2010,55.4,53.0,57.7,14.6,12.9,16.0,48.6,47.3,49.7,10.7,9.7,11.5
280,175,2000,50.3,47.8,52.8,13.8,12.1,15.4,44.0,42.6,45.5,10.1,9.1,11.1
281,91,2019,65.7,62.5,69.4,16.6,15.1,18.1,57.2,55.1,59.7,12.5,11.5,13.6
282,91,2015,65.6,62.3,69.2,16.6,15.2,18.0,57.2,55.0,59.6,12.6,11.6,13.6
283,91,2010,64.8,61.6,68.2,16.2,14.8,17.6,56.6,54.5,58.9,12.3,11.3,13.2
284,91,2000,63.0,59.8,66.5,15.9,14.6,17.3,55.0,52.9,57.3,12.1,11.2,13.0
285,93,2019,64.1,63.3,64.8,16.8,16.5,17.0,55.8,55.9,55.8,12.8,12.7,12.9
286,93,2015,62.6,62.1,63.1,16.5,16.3,16.7,54.6,54.8,54.4,12.6,12.6,12.6
287,93,2010,31.3,28.0,35.4,11.5,10.9,12.0,28.0,25.4,31.2,8.8,8.5,9.2
288,93,2000,57.0,57.0,57.2,15.8,15.6,15.9,50.0,50.5,49.6,12.1,12.1,12.2
289,95,2019,71.9,70.7,73.2,18.3,17.5,19.1,63.0,62.7,63.3,13.8,13.4,14.2
290,95,2015,69.8,67.6,72.1,17.9,17.0,18.6,61.3,60.1,62.6,13.5,13.1,14.0
291,95,2010,71.1,70.2,72.1,18.9,18.7,19.1,62.3,62.2,62.5,14.3,14.3,14.3
292,95,2000,70.0,69.1,71.0,19.6,19.6,19.6,61.2,61.1,61.4,14.7,15.0,14.6
293,97,2019,76.4,73.1,79.6,20.2,17.7,22.3,67.2,65.0,69.3,15.3,13.4,16.8
294,97,2015,75.6,72.2,78.7,19.9,17.4,21.9,66.6,64.3,68.7,15.1,13.3,16.6
295,97,2010,74.6,70.6,78.4,19.7,17.0,21.8,65.8,63.0,68.4,14.9,12.9,16.6
296,97,2000,71.3,67.1,75.6,18.0,15.3,20.1,63.0,60.0,66.1,13.6,11.6,15.2
297,99,2019,82.3,80.8,83.9,24.6,23.7,25.5,72.0,71.7,72.3,19.0,18.6,19.4
298,99,2015,82.1,80.7,83.6,24.4,23.5,25.3,71.9,71.7,72.1,18.9,18.4,19.3
299,99,2010,81.7,80.0,83.3,23.9,22.7,25.0,71.4,71.1,71.8,18.4,17.8,18.9
300,99,2000,79.7,77.7,81.6,22.6,21.2,24.0,69.8,69.3,70.3,17.4,16.7,18.1
301,100,2019,70.8,69.5,72.2,18.8,18.1,19.5,60.3,60.3,60.4,13.2,13.0,13.5
302,100,2015,69.3,68.1,70.6,18.5,17.7,19.3,59.1,59.1,59.2,13.1,12.8,13.3
303,100,2010,67.2,65.7,68.9,18.0,16.9,19.0,57.3,57.0,57.6,12.6,12.1,13.0
304,100,2000,62.1,61.3,62.9,16.1,15.4,16.8,52.9,53.2,52.7,11.3,11.1,11.6
305,101,2019,71.3,69.4,73.3,17.9,16.7,19.1,62.8,61.9,63.8,13.4,12.7,14.0
306,101,2015,70.6,68.8,72.5,17.7,16.5,18.8,62.3,61.5,63.2,13.2,12.5,13.8
307,101,2010,69.3,67.5,71.0,17.5,16.4,18.4,61.2,60.4,62.0,13.0,12.5,13.5
308,101,2000,67.2,65.8,68.6,17.6,16.8,18.2,59.0,58.5,59.6,13.0,12.7,13.2
309,393,2019,77.3,75.7,79.1,21.8,21.2,22.5,66.3,66.0,66.5,15.7,15.6,15.8
310,393,2015,76.7,75.0,78.5,21.6,20.9,22.3,65.7,65.3,66.0,15.5,15.3,15.6
311,393,2010,75.9,73.9,78.0,21.4,20.6,22.3,65.0,64.5,65.6,15.4,15.2,15.6
312,393,2000,72.6,70.7,74.6,19.7,19.0,20.5,62.6,62.1,63.1,14.3,14.1,14.5
313,103,2019,72.4,69.9,75.0,19.2,17.6,20.7,62.7,61.6,63.7,14.2,13.3,15.0
314,103,2015,70.3,67.3,73.4,19.2,17.9,20.5,60.8,59.3,62.4,14.2,13.5,14.9
315,103,2010,70.2,67.8,72.8,18.8,17.5,20.0,60.9,59.8,62.0,13.9,13.2,14.5
316,103,2000,68.8,66.4,71.3,18.3,17.0,19.6,59.5,58.5,60.6,13.5,12.8,14.1
317,104,2019,81.8,80.2,83.5,24.2,23.0,25.3,71.1,70.7,71.4,18.6,18.0,19.2
318,104,2015,81.1,79.3,82.9,23.7,22.3,24.9,70.7,70.2,71.2,18.3,17.5,19.0
319,104,2010,80.4,78.3,82.4,23.2,21.7,24.6,70.1,69.3,70.7,17.9,17.1,18.7
320,104,2000,76.4,73.8,79.0,20.2,18.3,21.9,67.1,65.9,68.3,15.7,14.6,16.8
321,105,2019,82.6,80.8,84.4,24.9,23.6,26.0,72.4,72.0,72.7,19.3,18.7,19.9
322,105,2015,81.9,80.0,83.8,24.3,22.9,25.6,71.8,71.3,72.3,18.8,18.1,19.5
323,105,2010,81.6,79.6,83.3,24.2,22.8,25.3,71.4,70.9,71.8,18.6,17.9,19.2
324,105,2000,78.6,76.4,80.7,21.9,20.6,23.1,69.2,68.4,69.9,17.1,16.4,17.7
325,106,2019,83.0,80.9,84.9,25.0,23.4,26.5,71.9,71.2,72.6,18.9,17.9,19.8
326,106,2015,82.2,80.0,84.3,24.5,22.7,26.0,71.6,70.7,72.4,18.6,17.5,19.6
327,106,2010,81.9,79.4,84.2,24.4,22.4,26.1,71.1,70.0,72.2,18.4,17.1,19.6
328,106,2000,79.4,76.4,82.1,22.5,20.3,24.5,69.0,67.6,70.4,17.1,15.6,18.4
329,109,2019,76.0,74.4,77.7,21.3,20.1,22.6,66.6,65.9,67.3,16.4,15.5,17.3
330,109,2015,75.9,74.1,77.7,21.4,19.9,23.0,66.6,65.9,67.4,16.5,15.5,17.6
331,109,2010,75.8,73.3,78.5,21.6,19.7,23.8,66.6,65.3,68.0,16.7,15.3,18.2
332,109,2000,74.2,72.0,76.5,21.0,19.7,22.3,65.4,64.3,66.6,16.3,15.4,17.2
333,110,2019,84.3,81.5,86.9,26.3,23.9,28.6,74.1,72.6,75.5,20.4,18.8,21.8
334,110,2015,83.6,80.7,86.4,25.9,23.4,28.1,73.6,72.0,75.1,20.0,18.4,21.5
335,110,2010,82.7,79.5,85.8,25.3,22.6,27.7,73.0,71.1,74.7,19.7,17.8,21.3
336,110,2000,81.1,77.7,84.4,24.1,21.3,26.6,71.6,69.5,73.5,18.7,16.7,20.5
337,112,2019,77.9,77.0,78.8,21.8,21.6,22.1,67.6,68.1,67.2,16.2,16.3,16.2
338,112,2015,77.8,77.0,78.8,21.8,21.5,22.1,67.6,68.0,67.2,16.2,16.3,16.1
339,112,2010,76.6,75.6,77.6,21.0,20.5,21.4,66.7,67.1,66.2,15.6,15.7,15.6
340,112,2000,72.6,73.1,72.5,18.6,19.5,17.9,63.6,65.0,62.3,13.9,14.9,13.1
341,108,2019,74.0,70.0,77.6,19.5,16.8,21.4,65.0,62.4,67.4,14.8,13.0,16.2
342,108,2015,71.9,67.4,76.2,18.6,15.9,20.6,63.4,60.3,66.3,14.2,12.3,15.6
343,108,2010,68.4,63.6,73.4,17.2,14.6,19.2,60.4,57.0,64.0,13.1,11.3,14.5
344,108,2000,63.1,57.6,69.2,15.3,12.3,17.8,56.1,52.0,60.5,11.8,9.7,13.5
345,114,2019,66.1,63.7,68.4,17.6,16.0,19.1,57.7,56.4,58.9,13.1,11.9,14.0
346,114,2015,64.2,61.7,66.6,17.3,15.6,18.8,56.1,54.8,57.4,12.8,11.7,13.8
347,114,2010,61.2,59.2,63.1,16.8,14.9,18.5,53.5,52.6,54.4,12.4,11.1,13.5
348,114,2000,53.9,52.8,54.9,16.3,14.5,18.1,46.9,46.6,47.2,11.8,10.7,13.0
349,83,2019,59.4,56.1,62.8,13.7,12.5,14.6,52.6,50.5,54.9,10.3,9.5,11.0
350,83,2015,58.2,55.1,61.4,13.5,12.3,14.4,51.6,49.6,53.7,10.2,9.4,10.8
351,83,2010,58.0,54.8,61.4,13.2,12.0,14.2,51.5,49.3,53.8,10.0,9.2,10.7
352,83,2000,55.7,52.3,59.4,12.6,11.3,13.7,49.6,47.1,52.2,9.6,8.7,10.4
353,118,2019,81.0,79.3,83.9,24.0,22.8,25.9,70.1,69.5,71.1,17.8,17.1,18.9
354,118,2015,81.1,79.5,83.8,24.2,23.2,25.9,70.2,69.7,71.0,18.0,17.4,18.9
355,118,2010,79.8,78.8,81.4,23.2,22.7,24.0,69.2,69.2,69.2,17.2,17.0,17.6
356,118,2000,77.9,76.4,80.1,22.2,21.2,23.5,67.7,67.4,68.0,16.5,16.0,17.1
357,113,2019,74.2,70.7,77.3,20.0,17.8,21.7,65.8,63.6,67.7,15.7,14.2,16.8
358,113,2015,71.6,67.9,75.3,18.4,16.3,20.2,63.7,61.3,66.2,14.5,13.0,15.8
359,113,2010,69.2,65.2,73.3,17.6,15.5,19.3,61.6,58.9,64.5,13.8,12.4,15.1
360,113,2000,66.0,61.9,70.2,16.7,14.9,18.3,58.7,55.8,61.7,13.1,11.8,14.1
361,395,2019,68.5,66.2,70.9,17.6,16.3,18.9,60.5,59.2,61.9,13.3,12.5,14.0
362,395,2015,67.1,64.7,69.6,17.5,16.2,18.7,59.3,57.9,60.7,13.2,12.4,13.9
363,395,2010,64.9,62.4,67.4,16.9,15.5,18.1,57.4,56.0,58.9,12.8,11.9,13.5
364,395,2000,58.4,56.3,60.6,15.3,14.0,16.5,51.8,50.5,53.1,11.6,10.8,12.3
365,119,2019,75.4,70.6,79.8,20.5,17.2,23.0,66.2,62.9,69.3,15.6,13.2,17.4
366,119,2015,74.8,69.9,79.3,20.4,17.1,22.7,65.8,62.3,68.9,15.5,13.1,17.2
367,119,2010,72.9,67.8,77.8,19.2,15.8,21.7,64.3,60.5,67.7,14.7,12.1,16.6
368,119,2000,70.2,64.6,75.6,18.3,15.1,20.6,61.6,57.4,65.6,13.9,11.4,15.6
369,121,2019,76.4,74.0,79.2,20.5,18.8,22.4,66.0,65.1,67.0,15.0,13.9,16.2
370,121,2015,76.0,73.5,78.8,20.1,18.3,22.1,65.7,64.7,66.8,14.8,13.7,16.0
371,121,2010,75.5,73.3,78.1,19.9,18.3,21.7,65.4,64.6,66.3,14.8,13.8,15.8
372,121,2000,74.6,73.0,76.1,19.8,18.9,20.7,64.7,64.4,64.9,14.9,14.4,15.3
373,122,2019,50.7,47.7,54.2,13.4,11.2,15.2,44.2,42.3,46.4,9.8,8.3,11.0
374,122,2015,47.7,45.1,50.6,12.7,10.7,14.4,41.6,40.1,43.4,9.3,7.9,10.5
375,122,2010,47.4,44.5,50.7,12.8,10.6,14.7,41.5,39.6,43.6,9.4,7.8,10.7
376,122,2000,47.8,45.5,50.7,13.9,11.0,16.7,42.0,40.7,43.7,10.3,8.2,12.2
377,123,2019,64.1,63.2,65.0,17.7,17.4,18.0,54.9,54.9,55.0,12.9,12.8,12.9
378,123,2015,61.2,60.6,61.7,17.1,16.8,17.3,52.5,52.7,52.2,12.3,12.4,12.3
379,123,2010,60.7,60.1,61.3,16.7,16.3,17.0,52.1,52.3,51.8,12.1,12.1,12.2
380,123,2000,53.8,52.9,54.7,15.8,15.3,16.2,45.8,45.7,46.0,11.4,11.3,11.5
381,124,2019,75.8,74.2,77.3,21.3,20.5,21.9,65.2,64.9,65.5,15.5,15.3,15.8
382,124,2015,74.6,72.4,76.9,21.3,20.7,21.9,64.3,63.5,65.2,15.6,15.4,15.8
383,124,2010,76.0,74.8,77.3,21.5,21.0,22.0,65.7,65.6,65.7,15.8,15.7,16.0
384,124,2000,74.4,72.7,76.3,21.0,20.0,22.0,64.6,64.2,65.0,15.6,15.1,16.0
385,126,2019,76.0,71.2,80.4,20.9,17.6,23.5,66.7,63.4,69.7,15.9,13.4,17.8
386,126,2015,74.4,69.1,79.5,20.3,16.9,22.9,65.3,61.6,68.8,15.4,12.8,17.3
387,126,2010,73.1,67.5,78.7,19.9,16.4,22.5,64.3,60.2,68.2,15.1,12.4,17.1
388,126,2000,72.0,66.7,77.2,19.5,16.4,21.7,63.1,59.2,66.9,14.7,12.4,16.4
389,256,2019,82.4,80.6,84.2,24.4,22.9,25.8,71.6,71.1,72.0,18.5,17.7,19.3
390,256,2015,82.3,80.3,84.3,24.4,22.8,25.9,71.5,70.9,72.1,18.6,17.6,19.5
391,256,2010,80.9,78.6,83.1,23.5,21.6,25.1,70.5,69.6,71.3,18.0,16.8,19.0
392,256,2000,78.2,75.1,81.1,21.8,19.4,23.7,68.3,66.8,69.7,16.7,15.2,18.0
393,129,2019,65.3,64.1,66.6,16.8,16.1,17.3,57.3,56.9,57.7,12.6,12.3,12.9
394,129,2015,64.2,62.9,65.5,16.5,15.8,17.2,56.3,55.8,56.8,12.4,12.1,12.8
395,129,2010,62.8,61.4,64.2,16.1,15.3,16.9,55.1,54.5,55.6,12.1,11.7,12.6
396,129,2000,58.8,57.5,60.2,15.4,14.6,16.2,51.3,50.7,52.0,11.5,11.1,12.0
397,130,2019,65.6,62.3,68.9,17.2,15.1,19.0,57.1,55.1,59.0,12.8,11.3,14.0
398,130,2015,63.0,59.7,66.5,16.9,14.6,18.8,54.9,52.8,57.0,12.5,10.9,13.9
399,130,2010,56.8,54.4,59.2,16.0,13.7,18.0,49.6,48.3,50.9,11.8,10.2,13.2
400,130,2000,44.7,44.0,45.6,14.0,12.2,15.8,39.1,38.9,39.3,10.3,9.1,11.5
401,131,2019,74.7,72.6,77.1,19.5,18.5,20.6,65.7,64.5,66.9,14.6,14.0,15.3
402,131,2015,75.0,73.0,77.1,19.9,19.1,20.7,65.8,64.7,67.0,14.8,14.4,15.4
403,131,2010,74.3,72.2,76.5,19.2,18.3,20.1,65.4,64.3,66.6,14.4,13.9,15.0
404,131,2000,72.8,70.6,75.3,18.1,17.0,19.2,64.0,62.6,65.5,13.5,12.8,14.2
405,132,2019,79.6,78.6,80.8,22.1,21.4,23.1,70.0,69.7,70.0,16.8,16.4,17.2
406,132,2015,78.4,77.6,79.5,21.3,20.8,21.9,69.1,69.0,69.1,16.2,16.0,16.5
407,132,2010,77.0,76.0,78.2,20.3,19.7,21.0,68.0,67.8,68.1,15.5,15.3,15.8
408,132,2000,71.0,70.4,71.5,18.0,18.1,17.8,62.4,62.4,62.3,13.7,13.9,13.4
409,133,2019,62.8,62.2,63.4,17.5,17.3,17.6,54.6,54.8,54.5,12.8,12.9,12.7
410,133,2015,60.9,60.4,61.4,17.1,16.9,17.2,53.0,53.3,52.7,12.5,12.6,12.4
411,133,2010,59.0,58.6,59.5,16.8,16.7,17.0,51.3,51.6,51.1,12.3,12.3,12.3
412,133,2000,52.6,52.6,52.7,16.0,16.2,15.9,45.6,46.0,45.3,11.7,11.9,11.5
413,134,2019,81.9,79.9,83.8,24.5,23.0,25.9,71.5,70.9,71.9,18.9,18.0,19.6
414,134,2015,81.6,79.6,83.6,24.2,22.7,25.6,71.3,70.7,71.8,18.7,17.8,19.5
415,134,2010,80.4,78.2,82.5,23.2,21.5,24.7,70.4,69.6,71.1,18.0,16.9,18.9
416,134,2000,77.9,75.5,80.1,20.8,19.0,22.4,68.5,67.6,69.4,16.2,15.1,17.2
417,136,2019,68.4,68.1,68.7,19.0,19.1,18.9,59.8,60.2,59.4,14.3,14.6,14.1
418,136,2015,67.4,67.2,67.7,18.8,19.0,18.7,58.9,59.4,58.6,14.2,14.5,13.9
419,136,2010,65.6,65.4,65.9,18.5,18.7,18.3,57.4,57.9,57.1,13.9,14.3,13.6
420,136,2000,62.0,61.8,62.2,17.1,17.2,17.0,54.4,54.8,54.0,12.8,13.1,12.6
421,137,2019,74.1,71.0,77.3,20.3,18.5,22.0,63.9,62.0,65.9,14.5,13.3,15.6
422,137,2015,74.1,71.0,77.4,20.2,18.2,21.9,64.0,62.0,66.1,14.4,13.2,15.5
423,137,2010,73.2,69.8,76.8,19.4,17.4,21.2,63.4,61.3,65.6,13.9,12.6,15.1
424,137,2000,71.2,67.7,74.8,17.8,15.8,19.7,61.9,59.8,64.2,12.9,11.6,14.1
425,138,2019,76.0,73.1,78.9,21.8,20.5,23.1,65.8,64.3,67.2,16.1,15.3,16.8
426,138,2015,75.9,73.1,78.6,21.7,20.4,22.9,65.8,64.3,67.2,16.1,15.3,16.8
427,138,2010,75.1,72.2,78.0,21.5,20.3,22.7,65.1,63.6,66.6,15.9,15.2,16.6
428,138,2000,74.4,71.7,77.1,21.6,20.3,22.7,64.6,63.3,65.8,15.8,15.2,16.4
429,145,2019,63.0,60.3,66.0,14.7,13.8,15.6,56.0,54.4,57.8,11.1,10.7,11.6
430,145,2015,62.7,60.1,65.7,14.8,14.0,15.6,55.8,54.3,57.5,11.2,10.8,11.7
431,145,2010,62.7,60.0,65.6,14.9,14.1,15.6,55.8,54.2,57.5,11.3,10.9,11.7
432,145,2000,61.2,58.5,64.2,14.6,13.7,15.5,54.5,52.9,56.3,11.2,10.8,11.6
433,141,2019,68.1,63.8,72.8,16.4,14.2,18.5,60.3,57.1,63.8,12.6,11.0,14.2
434,141,2015,67.6,63.4,72.1,16.5,14.5,18.4,59.9,56.7,63.2,12.6,11.2,14.0
435,141,2010,65.1,61.1,69.5,15.1,13.3,16.9,57.8,54.8,61.1,11.6,10.3,12.9
436,141,2000,60.5,57.3,64.1,13.4,12.0,14.9,53.8,51.5,56.4,10.3,9.3,11.4
437,273,2019,75.9,73.2,78.7,19.4,17.4,21.3,67.0,65.2,68.7,14.9,13.5,16.3
438,273,2015,75.3,72.8,77.7,19.0,17.2,20.6,66.6,65.1,68.2,14.7,13.4,15.9
439,273,2010,74.7,72.3,77.1,19.0,17.5,20.3,66.2,64.6,67.8,14.7,13.5,15.7
440,273,2000,73.6,70.9,76.3,19.2,17.7,20.6,65.2,63.3,67.0,14.9,13.7,16.0
441,143,2019,73.0,71.7,74.3,18.7,17.7,19.6,63.7,63.7,63.7,14.1,13.7,14.6
442,143,2015,72.5,71.4,73.6,18.5,17.9,19.2,63.3,63.5,63.1,14.1,13.8,14.3
443,143,2010,71.6,71.1,72.3,18.7,18.9,18.8,62.5,63.1,62.1,14.2,14.5,14.0
444,143,2000,69.3,68.1,70.6,18.4,17.8,18.9,60.7,60.7,60.7,14.1,13.9,14.2
445,144,2019,58.1,54.5,61.7,15.8,13.3,17.8,50.4,47.9,52.8,11.6,9.8,13.0
446,144,2015,55.9,52.4,59.4,15.3,12.7,17.5,48.6,46.2,50.9,11.2,9.4,12.8
447,144,2010,53.5,50.7,56.3,15.1,12.5,17.4,46.5,44.6,48.3,11.1,9.2,12.7
448,144,2000,50.7,48.4,53.1,15.2,13.1,17.2,43.6,42.1,45.1,11.0,9.6,12.4
449,28,2019,69.1,65.9,72.2,18.1,16.2,19.6,60.9,58.8,62.8,13.6,12.4,14.6
450,28,2015,67.6,64.3,70.7,17.7,15.8,19.3,59.6,57.5,61.5,13.3,12.1,14.3
451,28,2010,64.8,61.6,67.9,17.0,15.1,18.6,57.2,55.2,59.1,12.8,11.6,13.8
452,28,2000,60.0,57.3,62.7,15.4,13.8,16.9,52.9,51.2,54.7,11.7,10.6,12.6
453,147,2019,64.6,60.6,68.4,17.2,14.7,19.3,56.1,53.4,58.6,12.7,10.8,14.2
454,147,2015,62.9,59.4,66.2,17.0,14.5,19.1,54.6,52.3,56.7,12.5,10.7,14.0
455,147,2010,60.9,57.3,64.7,16.4,13.9,18.8,52.9,50.5,55.4,12.1,10.3,13.8
456,147,2000,53.3,51.0,55.5,14.6,12.7,16.3,46.6,45.2,47.9,10.8,9.4,12.0
457,149,2019,70.9,68.9,72.7,18.0,16.8,19.2,61.3,60.6,62.1,13.3,12.7,13.8
458,149,2015,69.4,67.3,71.4,17.8,16.7,18.9,60.2,59.3,61.1,13.1,12.6,13.7
459,149,2010,69.2,67.5,70.9,18.1,17.2,19.0,59.9,59.4,60.5,13.3,12.9,13.7
460,149,2000,65.3,63.9,66.6,17.6,16.7,18.3,56.3,55.8,56.7,12.8,12.4,13.1
461,150,2019,81.8,80.4,83.1,24.1,23.0,25.1,71.4,71.3,71.5,18.4,17.9,18.9
462,150,2015,81.3,79.7,82.8,23.6,22.3,24.9,71.1,70.9,71.3,18.1,17.4,18.8
463,150,2010,80.7,78.7,82.5,23.3,21.6,24.8,70.9,70.3,71.4,18.1,17.0,19.0
464,150,2000,78.0,75.5,80.4,21.3,19.1,23.2,68.8,67.7,69.8,16.6,15.1,17.9
465,156,2019,82.0,80.4,83.5,24.8,23.8,25.8,70.2,69.6,70.8,18.6,17.9,19.2
466,156,2015,81.3,79.7,82.9,24.3,23.2,25.3,69.9,69.3,70.5,18.2,17.6,18.9
467,156,2010,80.9,79.1,82.7,24.2,23.0,25.4,69.8,69.0,70.6,18.3,17.5,19.0
468,156,2000,78.6,76.0,81.1,22.4,20.5,24.1,67.8,66.4,69.2,16.9,15.6,18.0
469,157,2019,75.0,72.1,77.9,20.0,18.0,21.9,65.5,63.7,67.2,15.1,13.7,16.3
470,157,2015,74.6,71.8,77.3,19.9,18.2,21.5,65.2,63.4,66.8,15.1,13.9,16.1
471,157,2010,74.1,71.4,76.7,19.6,18.0,21.1,64.7,63.0,66.3,14.9,13.8,15.9
472,157,2000,73.3,70.8,75.7,20.1,18.6,21.3,63.7,62.2,65.2,15.1,14.2,16.0
473,158,2019,63.3,62.1,64.6,17.2,16.6,17.8,55.5,55.3,55.8,13.0,12.7,13.3
474,158,2015,61.5,60.3,62.9,16.8,16.2,17.5,54.1,53.8,54.5,12.8,12.5,13.1
475,158,2010,59.0,57.8,60.2,16.6,15.9,17.2,51.9,51.6,52.2,12.7,12.3,13.0
476,158,2000,50.4,49.7,51.0,15.8,15.3,16.2,44.2,44.2,44.2,12.0,11.8,12.2
477,159,2019,62.6,61.2,64.1,18.2,17.6,18.9,54.4,53.9,54.9,13.5,13.3,13.8
478,159,2015,61.2,59.6,62.8,17.8,17.1,18.5,53.1,52.5,53.8,13.2,12.9,13.5
479,159,2010,59.2,57.8,60.8,17.3,16.5,18.0,51.5,51.0,52.1,12.8,12.5,13.2
480,159,2000,53.6,52.2,55.2,16.2,15.4,17.0,46.5,45.8,47.2,12.0,11.6,12.3
481,162,2019,82.6,81.1,84.1,24.7,23.5,25.8,71.4,71.0,71.6,18.5,17.8,19.1
482,162,2015,82.0,80.3,83.7,24.2,22.8,25.4,71.2,70.6,71.9,18.3,17.4,19.1
483,162,2010,80.9,78.8,82.9,23.5,21.9,25.0,70.2,69.3,71.0,17.6,16.6,18.6
484,162,2000,78.5,75.9,81.2,22.0,20.0,23.7,68.4,67.0,69.8,16.7,15.3,17.9
485,221,2019,73.9,73.0,75.3,17.8,17.2,18.5,64.7,64.5,64.5,13.2,12.9,13.5
486,221,2015,72.5,71.4,74.1,16.7,16.0,17.5,63.7,63.4,63.8,12.5,12.0,12.9
487,221,2010,70.4,69.0,72.5,15.9,15.2,16.8,62.0,61.5,62.7,11.9,11.5,12.4
488,221,2000,69.1,67.3,71.5,15.6,14.7,16.6,60.9,60.1,61.9,11.7,11.2,12.3
489,165,2019,65.6,64.6,66.7,17.3,16.8,17.8,56.9,56.9,56.8,12.6,12.5,12.6
490,165,2015,64.2,63.1,65.4,16.8,16.3,17.4,55.8,55.8,55.8,12.3,12.2,12.4
491,165,2010,62.6,61.5,63.9,16.4,15.8,17.1,54.5,54.4,54.5,12.0,11.9,12.1
492,165,2000,60.1,59.3,61.0,15.7,15.2,16.4,52.3,52.6,52.1,11.5,11.4,11.7
493,166,2019,79.3,76.6,82.1,24.3,22.6,26.0,68.7,67.4,70.0,18.1,17.1,19.2
494,166,2015,78.7,76.2,81.4,24.0,22.6,25.4,68.3,67.0,69.6,18.0,17.1,18.9
495,166,2010,77.5,74.6,80.6,23.3,21.7,25.0,67.5,65.9,69.1,17.6,16.6,18.6
496,166,2000,77.2,74.6,80.1,23.3,21.8,24.9,67.2,65.9,68.6,17.6,16.7,18.5
497,168,2019,65.3,63.4,67.4,16.5,15.4,17.6,57.1,56.2,58.1,12.3,11.7,12.8
498,168,2015,64.5,62.6,66.5,16.3,15.2,17.5,56.4,55.5,57.4,12.2,11.6,12.7
499,168,2010,63.4,61.5,65.4,16.1,14.9,17.2,55.4,54.5,56.4,12.0,11.3,12.5
500,168,2000,63.3,61.1,65.6,16.4,15.0,17.6,55.3,54.1,56.5,12.2,11.5,12.9
501,169,2019,75.8,73.1,78.8,21.8,20.2,23.5,65.8,64.5,67.3,16.5,15.4,17.6
502,169,2015,75.6,72.8,78.6,21.8,20.2,23.5,65.6,64.3,67.1,16.5,15.6,17.5
503,169,2010,75.0,72.5,77.7,21.6,20.2,23.0,65.2,64.1,66.5,16.4,15.6,17.3
504,169,2000,74.8,72.6,77.1,22.0,20.7,23.3,65.0,64.1,66.0,16.8,16.0,17.5
505,170,2019,79.9,78.5,81.3,24.4,23.7,25.1,69.5,69.2,69.8,18.5,18.3,18.7
506,170,2015,79.1,77.6,80.6,24.0,23.3,24.7,68.8,68.5,69.2,18.2,18.0,18.5
507,170,2010,77.3,75.6,78.9,23.0,22.2,23.8,67.5,67.0,67.9,17.5,17.3,17.8
508,170,2000,74.4,72.9,75.9,22.3,21.6,22.9,64.9,64.6,65.3,17.0,16.8,17.1
509,171,2019,70.4,67.4,73.6,17.8,15.8,19.6,62.0,60.1,63.9,13.4,12.1,14.6
510,171,2015,70.3,67.1,73.7,17.8,15.8,19.7,61.9,59.9,64.0,13.5,12.1,14.8
511,171,2010,70.0,66.6,73.5,18.0,16.0,19.9,61.6,59.5,63.8,13.6,12.2,14.9
512,171,2000,69.0,65.5,72.9,17.6,15.5,19.7,60.6,58.2,63.1,13.3,11.8,14.6
513,173,2019,78.3,74.5,81.9,22.1,19.5,24.3,68.7,65.9,71.3,16.8,14.9,18.5
514,173,2015,77.3,73.4,81.1,21.5,18.8,23.7,68.0,65.1,70.9,16.4,14.4,18.2
515,173,2010,76.3,72.1,80.4,21.0,18.2,23.3,67.1,64.0,70.2,16.0,13.9,17.7
516,173,2000,73.7,69.5,77.9,19.2,16.5,21.4,65.0,61.9,68.1,14.7,12.7,16.3
517,174,2019,81.6,78.6,84.4,24.3,22.1,26.3,71.0,69.6,72.2,18.6,17.3,19.8
518,174,2015,80.9,77.9,83.7,23.8,21.7,25.6,70.5,69.0,71.8,18.3,17.0,19.4
