Area Code,Year,Arable land,Land under permanent crops,Cropland,Land under perm. meadows and pastures,Agriculture area actually irrigated,Land area equipped for irrigation,Agriculture area under organic agric.
72,2018,0 %,,0 %,99 %,,0 %,
55,2018,24 %,68 %,92 %,8 %,,0 %,0 %
56,2018,36 %,14 %,50 %,49 %,12 %,12 %,6 %
58,2018,17 %,25 %,43 %,56 %,15 %,31 %,0 %
59,2018,75 %,24 %,100 %,,,99 %,3 %
60,2018,42 %,15 %,57 %,42 %,1 %,3 %,0 %
63,2018,68 %,0 %,68 %,31 %,,0 %,20 %
209,2018,,,,,,,
238,2018,42 %,4 %,47 %,52 %,2 %,2 %,0 %
66,2018,38 %,20 %,58 %,41 %,,0 %,9 %
67,2018,98 %,0 %,98 %,1 %,,2 %,13 %
68,2018,63 %,3 %,66 %,33 %,,9 %,7 %
70,2018,5 %,50 %,56 %,43 %,,2 %,3 %
74,2018,14 %,7 %,22 %,77 %,,0 %,
75,2018,72 %,0 %,73 %,26 %,,0 %,0 %
73,2018,13 %,5 %,18 %,81 %,,18 %,0 %
79,2018,70 %,1 %,71 %,28 %,,4 %,7 %
81,2018,31 %,18 %,50 %,49 %,,0 %,0 %
84,2018,35 %,17 %,52 %,47 %,,25 %,8 %
86,2018,37 %,50 %,87 %,12 %,,25 %,1 %
89,2018,22 %,30 %,53 %,46 %,,8 %,0 %
90,2018,21 %,4 %,26 %,73 %,,0 %,0 %
175,2018,36 %,30 %,67 %,32 %,,3 %,0 %
91,2018,33 %,4 %,37 %,62 %,,11 %,
93,2018,58 %,15 %,73 %,26 %,,5 %,0 %
95,2018,30 %,17 %,47 %,52 %,,2 %,0 %
97,2018,81 %,3 %,84 %,15 %,1 %,4 %,3 %
99,2018,6 %,,6 %,93 %,,,0 %
100,2018,87 %,7 %,94 %,5 %,,39 %,1 %
101,2018,42 %,40 %,82 %,17 %,,10 %,0 %
102,2018,,,,,,,
103,2018,54 %,2 %,56 %,43 %,,38 %,0 %
104,2018,9 %,0 %,10 %,89 %,,,2 %
105,2018,61 %,16 %,77 %,22 %,33 %,36 %,0 %
106,2018,54 %,19 %,73 %,26 %,,33 %,15 %
109,2018,27 %,21 %,48 %,51 %,,6 %,0 %
110,2018,93 %,6 %,100 %,,,54 %,0 %
112,2018,19 %,7 %,27 %,72 %,8 %,10 %,0 %
108,2018,13 %,0 %,13 %,86 %,0 %,0 %,0 %
114,2018,20 %,1 %,22 %,77 %,,0 %,0 %
83,2018,5 %,94 %,100 %,,,,4 %
118,2018,5 %,4 %,9 %,90 %,,12 %,
113,2018,12 %,0 %,12 %,87 %,9 %,9 %,0 %
120,2018,,,,,,,
119,2018,66 %,0 %,67 %,32 %,,0 %,14 %
121,2018,20 %,19 %,39 %,60 %,,15 %,0 %
122,2018,17 %,0 %,17 %,82 %,,0 %,0 %
123,2018,25 %,10 %,35 %,64 %,,0 %,0 %
126,2018,71 %,1 %,72 %,27 %,,0 %,8 %
256,2018,47 %,1 %,48 %,51 %,,,4 %
129,2018,7 %,1 %,8 %,91 %,,2 %,0 %
130,2018,63 %,3 %,67 %,32 %,,1 %,0 %
131,2018,9 %,87 %,96 %,3 %,,5 %,0 %
132,2018,49 %,37 %,87 %,12 %,,,
133,2018,15 %,0 %,15 %,84 %,,0 %,0 %
134,2018,87 %,12 %,100 %,,33 %,35 %,0 %
136,2018,1 %,0 %,1 %,98 %,,0 %,
137,2018,87 %,4 %,91 %,8 %,20 %,22 %,0 %
138,2018,22 %,2 %,24 %,75 %,,6 %,0 %
141,2018,1 %,0 %,1 %,98 %,0 %,0 %,0 %
273,2018,3 %,2 %,5 %,94 %,,0 %,1 %
143,2018,24 %,5 %,30 %,69 %,,5 %,0 %
144,2018,13 %,0 %,14 %,85 %,,0 %,0 %
28,2018,85 %,11 %,97 %,2 %,,17 %,0 %
147,2018,2 %,0 %,2 %,97 %,,0 %,0 %
149,2018,51 %,5 %,56 %,43 %,,33 %,0 %
150,2018,56 %,2 %,58 %,41 %,,28 %,3 %
153,2018,3 %,2 %,5 %,94 %,,5 %,0 %
156,2018,4 %,0 %,5 %,94 %,,7 %,0 %
157,2018,29 %,5 %,35 %,64 %,,3 %,0 %
158,2018,37 %,0 %,38 %,61 %,,0 %,0 %
159,2018,49 %,9 %,58 %,41 %,,0 %,0 %
154,2018,33 %,3 %,36 %,63 %,,10 %,0 %
162,2018,81 %,0 %,81 %,18 %,,8 %,4 %
221,2018,5 %,2 %,7 %,92 %,6 %,6 %,0 %
165,2018,84 %,2 %,86 %,13 %,53 %,55 %,0 %
166,2018,25 %,8 %,33 %,66 %,,1 %,0 %
168,2018,25 %,58 %,84 %,15 %,,,4 %
169,2018,21 %,0 %,22 %,77 %,,0 %,0 %
170,2018,14 %,5 %,20 %,79 %,,11 %,1 %
171,2018,44 %,43 %,87 %,12 %,,15 %,1 %
173,2018,75 %,2 %,78 %,21 %,,1 %,3 %
174,2018,25 %,21 %,47 %,52 %,,15 %,5 %
117,2018,,,,,,,
146,2018,74 %,10 %,84 %,15 %,9 %,10 %,0 %
183,2018,64 %,3 %,68 %,31 %,1 %,23 %,2 %
185,2018,,,,,,,
184,2018,63 %,13 %,77 %,22 %,,0 %,0 %
188,2018,,,,,,,
189,2018,,,,,,,
191,2018,,,,,,,
244,2018,42 %,41 %,84 %,15 %,,,36 %
193,2018,9 %,88 %,97 %,2 %,,22 %,24 %
194,2018,1 %,0 %,2 %,97 %,,0 %,0 %
195,2018,36 %,0 %,36 %,63 %,,1 %,0 %
272,2018,74 %,5 %,80 %,19 %,1 %,1 %,0 %
197,2018,40 %,4 %,44 %,55 %,,0 %,2 %
199,2018,71 %,0 %,72 %,27 %,1 %,3 %,10 %
198,2018,29 %,8 %,38 %,61 %,0 %,1 %,7 %
25,2018,17 %,76 %,93 %,6 %,,,4 %
202,2018,12 %,0 %,12 %,87 %,,1 %,0 %
203,2018,45 %,18 %,64 %,35 %,14 %,14 %,8 %
38,2018,48 %,35 %,84 %,15 %,,22 %,2 %
276,2018,29 %,0 %,29 %,70 %,,2 %,0 %
207,2018,73 %,7 %,80 %,19 %,73 %,79 %,0 %
210,2018,84 %,0 %,84 %,15 %,,5 %,20 %
211,2018,26 %,1 %,28 %,71 %,,3 %,10 %
208,2018,14 %,3 %,18 %,81 %,,17 %,0 %
216,2018,76 %,20 %,96 %,3 %,,29 %,0 %
176,2018,,,,,,,
217,2018,69 %,4 %,73 %,26 %,,0 %,1 %
220,2018,46 %,40 %,87 %,12 %,,12 %,
222,2018,26 %,24 %,51 %,48 %,,4 %,3 %
223,2018,52 %,9 %,61 %,38 %,13 %,13 %,1 %
213,2018,5 %,0 %,5 %,94 %,,5 %,
226,2018,47 %,15 %,63 %,36 %,,0 %,1 %
230,2018,79 %,2 %,81 %,18 %,0 %,5 %,0 %
225,2018,11 %,10 %,21 %,78 %,21 %,21 %,1 %
229,2018,,,,,,,
215,2018,,,,,,,
231,2018,38 %,0 %,39 %,60 %,,6 %,0 %
234,2018,14 %,0 %,14 %,85 %,1 %,1 %,15 %
235,2018,15 %,1 %,17 %,82 %,14 %,16 %,0 %
155,2018,10 %,66 %,77 %,22 %,,,13 %
236,2018,,,,,,,
237,2018,57 %,37 %,94 %,5 %,,37 %,1 %
249,2018,4 %,1 %,5 %,94 %,,2 %,
251,2018,15 %,0 %,16 %,83 %,,0 %,0 %
181,2018,24 %,0 %,25 %,74 %,,1 %,0 %
6,2018,4 %,,4 %,95 %,,1 %,0 %
258,2018,,,,,,,
13,2018,18 %,34 %,53 %,46 %,,46 %,
17,2018,100 %,,100 %,,,,
18,2018,18 %,1 %,19 %,80 %,,6 %,1 %
239,2018,14 %,14 %,28 %,71 %,,,
26,2018,,,,,,,
29,2018,59 %,17 %,76 %,23 %,,1 %,0 %
36,2018,7 %,18 %,25 %,74 %,,,
45,2018,50 %,38 %,88 %,11 %,,0 %,1 %
279,2018,,,,,,,
250,2018,37 %,4 %,42 %,57 %,,0 %,0 %
61,2018,42 %,21 %,63 %,36 %,,,
178,2018,9 %,0 %,9 %,90 %,,0 %,
124,2018,11 %,2 %,13 %,86 %,,2 %,
127,2018,23 %,75 %,98 %,1 %,,,
145,2018,9 %,77 %,86 %,13 %,,,
148,2018,,100 %,100 %,,,,
299,2018,18 %,21 %,40 %,59 %,,29 %,
177,2018,29 %,9 %,39 %,60 %,,13 %,0 %
196,2018,9 %,90 %,100 %,,,19 %,
201,2018,2 %,0 %,2 %,97 %,,0 %,
212,2018,33 %,7 %,41 %,58 %,,9 %,0 %
219,2018,57 %,31 %,88 %,11 %,,,1 %
224,2018,100 %,,100 %,,,,
227,2018,,100 %,100 %,,,,
47,2018,66 %,33 %,100 %,,,,1 %
85,2018,,,,100 %,,,
160,2018,20 %,60 %,80 %,20 %,,,0 %
180,2018,6 %,46 %,53 %,46 %,,,
179,2018,20 %,4 %,25 %,74 %,16 %,32 %,
200,2018,84 %,15 %,100 %,,,,0 %
277,2018,,,9 %,90 %,,0 %,
218,2018,,100 %,100 %,,,,
352,2018,100 %,,100 %,,,,8 %
353,2018,,,,,,,
354,2018,41 %,,41 %,58 %,,,27 %
355,2018,,,,,,,
356,2018,33 %,33 %,66 %,33 %,,3 %,
357,2018,,,,,,,
358,2018,,,,,,,
359,2018,,,,,,,
380,2018,61 %,38 %,100 %,,,,
381,2018,100 %,,100 %,,,,
382,2018,11 %,0 %,12 %,87 %,,0 %,0 %
383,2018,34 %,41 %,76 %,23 %,,6 %,
384,2018,63 %,5 %,68 %,31 %,,4 %,0 %
385,2018,41 %,,41 %,58 %,,10 %,1 %
386,2018,89 %,8 %,98 %,1 %,,55 %,
387,2018,14 %,1 %,15 %,84 %,,4 %,0 %
388,2018,,,,100 %,,,2 %
390,2018,40 %,17 %,57 %,42 %,,18 %,9 %
391,2018,44 %,5 %,49 %,50 %,,12 %,0 %
392,2018,5 %,50 %,55 %,44 %,,1 %,
393,2018,31 %,3 %,35 %,64 %,,20 %,0 %
394,2018,57 %,,57 %,42 %,,,
395,2018,64 %,7 %,71 %,28 %,,12 %,0 %
397,2018,34 %,15 %,49 %,50 %,,19 %,1 %
398,2018,86 %,13 %,99 %,0 %,,0 %,0 %
399,2018,66 %,,66 %,33 %,,,
400,2018,,,,100 %,,,
402,2018,83 %,13 %,96 %,3 %,,42 %,1 %
403,2018,71 %,6 %,77 %,22 %,,19 %,2 %
404,2018,56 %,0 %,57 %,42 %,,2 %,0 %
405,2018,33 %,,33 %,66 %,,,
406,2018,83 %,1 %,85 %,15 %,,0 %,
407,2018,28 %,66 %,94 %,5 %,,28 %,
408,2018,100 %,,100 %,,,,
409,2018,28 %,42 %,71 %,28 %,,0 %,
410,2018,86 %,13 %,100 %,,,,
411,2018,40 %,19 %,60 %,39 %,,9 %,15 %
412,2018,34 %,0 %,35 %,64 %,0 %,1 %,2 %
413,2018,34 %,5 %,39 %,60 %,,0 %,0 %
414,2018,25 %,25 %,50 %,50 %,,2 %,0 %
415,2018,12 %,3 %,15 %,84 %,,4 %,
416,2018,16 %,83 %,100 %,,1 %,1 %,
417,2018,0 %,,0 %,99 %,,,
440,2018,,,,,,,
469,2018,,,,,,,
480,2018,,,,,,,
484,2018,,,,,,,
