Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"LC","Occupation des sols","3","Albanie","5007","Area from MODIS","6975","Mangroves","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","3","Albanie","5007","Area from MODIS","6976","Zones arbustives","2018","2018","1000 ha","0.9617","FC","Donnée calculée"
"LC","Occupation des sols","3","Albanie","5007","Area from MODIS","6977","Végétation arbustive et/ou herbacée, aquatique ou régulièrement inondée","2018","2018","1000 ha","17.3444","FC","Donnée calculée"
"LC","Occupation des sols","3","Albanie","5007","Area from MODIS","6978","Zones à végétation naturelle clairsemée","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","3","Albanie","5007","Area from MODIS","6979","Terres stériles","2018","2018","1000 ha","0.6225","FC","Donnée calculée"
"LC","Occupation des sols","3","Albanie","5007","Area from MODIS","6980","Neige permanente et glaciers","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","3","Albanie","5007","Area from MODIS","6981","Étendues d’eau intérieures","2018","2018","1000 ha","200.1692","FC","Donnée calculée"
"LC","Occupation des sols","3","Albanie","5007","Area from MODIS","6982","Étendues d’eaux côtières et zones intertidales","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","4","Algérie","5007","Area from MODIS","6970","Surfaces artificielles, y compris les zones urbaines et associées","2018","2018","1000 ha","215.0236","FC","Donnée calculée"
"LC","Occupation des sols","4","Algérie","5007","Area from MODIS","6971","Cultures herbacées","2018","2018","1000 ha","5263.319","FC","Donnée calculée"
"LC","Occupation des sols","4","Algérie","5007","Area from MODIS","6972","Cultures ligneuses","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","4","Algérie","5007","Area from MODIS","6973","Cultures multiples ou étagées","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","4","Algérie","5007","Area from MODIS","6983","Prairie","2018","2018","1000 ha","3715.7245","FC","Donnée calculée"
"LC","Occupation des sols","4","Algérie","5007","Area from MODIS","6974","Zones arborées","2018","2018","1000 ha","867.689","FC","Donnée calculée"
"LC","Occupation des sols","4","Algérie","5007","Area from MODIS","6975","Mangroves","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","4","Algérie","5007","Area from MODIS","6976","Zones arbustives","2018","2018","1000 ha","10198.1373","FC","Donnée calculée"
"LC","Occupation des sols","4","Algérie","5007","Area from MODIS","6977","Végétation arbustive et/ou herbacée, aquatique ou régulièrement inondée","2018","2018","1000 ha","4.6152","FC","Donnée calculée"
"LC","Occupation des sols","4","Algérie","5007","Area from MODIS","6978","Zones à végétation naturelle clairsemée","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","4","Algérie","5007","Area from MODIS","6979","Terres stériles","2018","2018","1000 ha","211393.9939","FC","Donnée calculée"
"LC","Occupation des sols","4","Algérie","5007","Area from MODIS","6980","Neige permanente et glaciers","2018","2018","1000 ha","0.1503","FC","Donnée calculée"
"LC","Occupation des sols","4","Algérie","5007","Area from MODIS","6981","Étendues d’eau intérieures","2018","2018","1000 ha","70.3436","FC","Donnée calculée"
"LC","Occupation des sols","4","Algérie","5007","Area from MODIS","6982","Étendues d’eaux côtières et zones intertidales","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","79","Allemagne","5007","Area from MODIS","6970","Surfaces artificielles, y compris les zones urbaines et associées","2018","2018","1000 ha","2537.2655","FC","Donnée calculée"
"LC","Occupation des sols","79","Allemagne","5007","Area from MODIS","6971","Cultures herbacées","2018","2018","1000 ha","13079.6209","FC","Donnée calculée"
"LC","Occupation des sols","79","Allemagne","5007","Area from MODIS","6972","Cultures ligneuses","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","79","Allemagne","5007","Area from MODIS","6973","Cultures multiples ou étagées","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","79","Allemagne","5007","Area from MODIS","6983","Prairie","2018","2018","1000 ha","2951.4709","FC","Donnée calculée"
"LC","Occupation des sols","79","Allemagne","5007","Area from MODIS","6974","Zones arborées","2018","2018","1000 ha","16543.4048","FC","Donnée calculée"
"LC","Occupation des sols","79","Allemagne","5007","Area from MODIS","6975","Mangroves","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","79","Allemagne","5007","Area from MODIS","6976","Zones arbustives","2018","2018","1000 ha","0.0429","FC","Donnée calculée"
"LC","Occupation des sols","79","Allemagne","5007","Area from MODIS","6977","Végétation arbustive et/ou herbacée, aquatique ou régulièrement inondée","2018","2018","1000 ha","137.7035","FC","Donnée calculée"
"LC","Occupation des sols","79","Allemagne","5007","Area from MODIS","6978","Zones à végétation naturelle clairsemée","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","79","Allemagne","5007","Area from MODIS","6979","Terres stériles","2018","2018","1000 ha","6.8905","FC","Donnée calculée"
"LC","Occupation des sols","79","Allemagne","5007","Area from MODIS","6980","Neige permanente et glaciers","2018","2018","1000 ha","3.3916","FC","Donnée calculée"
"LC","Occupation des sols","79","Allemagne","5007","Area from MODIS","6981","Étendues d’eau intérieures","2018","2018","1000 ha","413.5829","FC","Donnée calculée"
"LC","Occupation des sols","79","Allemagne","5007","Area from MODIS","6982","Étendues d’eaux côtières et zones intertidales","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","6","Andorre","5007","Area from MODIS","6970","Surfaces artificielles, y compris les zones urbaines et associées","2018","2018","1000 ha","0.1288","FC","Donnée calculée"
"LC","Occupation des sols","6","Andorre","5007","Area from MODIS","6971","Cultures herbacées","2018","2018","1000 ha","0.0429","FC","Donnée calculée"
"LC","Occupation des sols","6","Andorre","5007","Area from MODIS","6972","Cultures ligneuses","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","6","Andorre","5007","Area from MODIS","6973","Cultures multiples ou étagées","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","6","Andorre","5007","Area from MODIS","6983","Prairie","2018","2018","1000 ha","5.8173","FC","Donnée calculée"
"LC","Occupation des sols","6","Andorre","5007","Area from MODIS","6974","Zones arborées","2018","2018","1000 ha","41.6223","FC","Donnée calculée"
"LC","Occupation des sols","6","Andorre","5007","Area from MODIS","6975","Mangroves","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","6","Andorre","5007","Area from MODIS","6976","Zones arbustives","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","6","Andorre","5007","Area from MODIS","6977","Végétation arbustive et/ou herbacée, aquatique ou régulièrement inondée","2018","2018","1000 ha","0.0215","FC","Donnée calculée"
"LC","Occupation des sols","6","Andorre","5007","Area from MODIS","6978","Zones à végétation naturelle clairsemée","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","6","Andorre","5007","Area from MODIS","6979","Terres stériles","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","6","Andorre","5007","Area from MODIS","6980","Neige permanente et glaciers","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","6","Andorre","5007","Area from MODIS","6981","Étendues d’eau intérieures","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","6","Andorre","5007","Area from MODIS","6982","Étendues d’eaux côtières et zones intertidales","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","7","Angola","5007","Area from MODIS","6970","Surfaces artificielles, y compris les zones urbaines et associées","2018","2018","1000 ha","104.4958","FC","Donnée calculée"
"LC","Occupation des sols","7","Angola","5007","Area from MODIS","6971","Cultures herbacées","2018","2018","1000 ha","418.9536","FC","Donnée calculée"
"LC","Occupation des sols","7","Angola","5007","Area from MODIS","6972","Cultures ligneuses","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","7","Angola","5007","Area from MODIS","6973","Cultures multiples ou étagées","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","7","Angola","5007","Area from MODIS","6983","Prairie","2018","2018","1000 ha","41936.4139","FC","Donnée calculée"
"LC","Occupation des sols","7","Angola","5007","Area from MODIS","6974","Zones arborées","2018","2018","1000 ha","76860.9851","FC","Donnée calculée"
"LC","Occupation des sols","7","Angola","5007","Area from MODIS","6975","Mangroves","2018","2018","1000 ha","16.8078","FC","Donnée calculée"
"LC","Occupation des sols","7","Angola","5007","Area from MODIS","6976","Zones arbustives","2018","2018","1000 ha","3937.235","FC","Donnée calculée"
"LC","Occupation des sols","7","Angola","5007","Area from MODIS","6977","Végétation arbustive et/ou herbacée, aquatique ou régulièrement inondée","2018","2018","1000 ha","258.5349","FC","Donnée calculée"
"LC","Occupation des sols","7","Angola","5007","Area from MODIS","6978","Zones à végétation naturelle clairsemée","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","7","Angola","5007","Area from MODIS","6979","Terres stériles","2018","2018","1000 ha","1646.7325","FC","Donnée calculée"
"LC","Occupation des sols","7","Angola","5007","Area from MODIS","6980","Neige permanente et glaciers","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","7","Angola","5007","Area from MODIS","6981","Étendues d’eau intérieures","2018","2018","1000 ha","234.579","FC","Donnée calculée"
"LC","Occupation des sols","7","Angola","5007","Area from MODIS","6982","Étendues d’eaux côtières et zones intertidales","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","258","Anguilla","5007","Area from MODIS","6970","Surfaces artificielles, y compris les zones urbaines et associées","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","258","Anguilla","5007","Area from MODIS","6971","Cultures herbacées","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","258","Anguilla","5007","Area from MODIS","6972","Cultures ligneuses","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","258","Anguilla","5007","Area from MODIS","6973","Cultures multiples ou étagées","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","258","Anguilla","5007","Area from MODIS","6983","Prairie","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","258","Anguilla","5007","Area from MODIS","6974","Zones arborées","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","258","Anguilla","5007","Area from MODIS","6975","Mangroves","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","258","Anguilla","5007","Area from MODIS","6976","Zones arbustives","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","258","Anguilla","5007","Area from MODIS","6977","Végétation arbustive et/ou herbacée, aquatique ou régulièrement inondée","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","258","Anguilla","5007","Area from MODIS","6978","Zones à végétation naturelle clairsemée","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","258","Anguilla","5007","Area from MODIS","6979","Terres stériles","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","258","Anguilla","5007","Area from MODIS","6980","Neige permanente et glaciers","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","258","Anguilla","5007","Area from MODIS","6981","Étendues d’eau intérieures","2018","2018","1000 ha","7.9638","FC","Donnée calculée"
"LC","Occupation des sols","258","Anguilla","5007","Area from MODIS","6982","Étendues d’eaux côtières et zones intertidales","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","30","Antarctique","5007","Area from MODIS","6970","Surfaces artificielles, y compris les zones urbaines et associées","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","30","Antarctique","5007","Area from MODIS","6971","Cultures herbacées","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","30","Antarctique","5007","Area from MODIS","6972","Cultures ligneuses","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","30","Antarctique","5007","Area from MODIS","6973","Cultures multiples ou étagées","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","30","Antarctique","5007","Area from MODIS","6983","Prairie","2018","2018","1000 ha","10.8617","FC","Donnée calculée"
"LC","Occupation des sols","30","Antarctique","5007","Area from MODIS","6974","Zones arborées","2018","2018","1000 ha","0.1073","FC","Donnée calculée"
"LC","Occupation des sols","30","Antarctique","5007","Area from MODIS","6975","Mangroves","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","30","Antarctique","5007","Area from MODIS","6976","Zones arbustives","2018","2018","1000 ha","0.1073","FC","Donnée calculée"
"LC","Occupation des sols","30","Antarctique","5007","Area from MODIS","6977","Végétation arbustive et/ou herbacée, aquatique ou régulièrement inondée","2018","2018","1000 ha","2.5759","FC","Donnée calculée"
"LC","Occupation des sols","30","Antarctique","5007","Area from MODIS","6978","Zones à végétation naturelle clairsemée","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","30","Antarctique","5007","Area from MODIS","6979","Terres stériles","2018","2018","1000 ha","194.8027","FC","Donnée calculée"
"LC","Occupation des sols","30","Antarctique","5007","Area from MODIS","6980","Neige permanente et glaciers","2018","2018","1000 ha","982452.7997","FC","Donnée calculée"
"LC","Occupation des sols","30","Antarctique","5007","Area from MODIS","6981","Étendues d’eau intérieures","2018","2018","1000 ha","52239.6138","FC","Donnée calculée"
"LC","Occupation des sols","30","Antarctique","5007","Area from MODIS","6982","Étendues d’eaux côtières et zones intertidales","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","8","Antigua-et-Barbuda","5007","Area from MODIS","6970","Surfaces artificielles, y compris les zones urbaines et associées","2018","2018","1000 ha","0.1288","FC","Donnée calculée"
"LC","Occupation des sols","8","Antigua-et-Barbuda","5007","Area from MODIS","6971","Cultures herbacées","2018","2018","1000 ha","0.0215","FC","Donnée calculée"
"LC","Occupation des sols","8","Antigua-et-Barbuda","5007","Area from MODIS","6972","Cultures ligneuses","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","8","Antigua-et-Barbuda","5007","Area from MODIS","6973","Cultures multiples ou étagées","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","8","Antigua-et-Barbuda","5007","Area from MODIS","6983","Prairie","2018","2018","1000 ha","1.1806","FC","Donnée calculée"
"LC","Occupation des sols","8","Antigua-et-Barbuda","5007","Area from MODIS","6974","Zones arborées","2018","2018","1000 ha","3.7565","FC","Donnée calculée"
"LC","Occupation des sols","8","Antigua-et-Barbuda","5007","Area from MODIS","6975","Mangroves","2018","2018","1000 ha","0.2147","FC","Donnée calculée"
"LC","Occupation des sols","8","Antigua-et-Barbuda","5007","Area from MODIS","6976","Zones arbustives","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","8","Antigua-et-Barbuda","5007","Area from MODIS","6977","Végétation arbustive et/ou herbacée, aquatique ou régulièrement inondée","2018","2018","1000 ha","0.2147","FC","Donnée calculée"
"LC","Occupation des sols","8","Antigua-et-Barbuda","5007","Area from MODIS","6978","Zones à végétation naturelle clairsemée","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","8","Antigua-et-Barbuda","5007","Area from MODIS","6979","Terres stériles","2018","2018","1000 ha","0.0215","FC","Donnée calculée"
"LC","Occupation des sols","8","Antigua-et-Barbuda","5007","Area from MODIS","6980","Neige permanente et glaciers","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","8","Antigua-et-Barbuda","5007","Area from MODIS","6981","Étendues d’eau intérieures","2018","2018","1000 ha","40.2485","FC","Donnée calculée"
"LC","Occupation des sols","8","Antigua-et-Barbuda","5007","Area from MODIS","6982","Étendues d’eaux côtières et zones intertidales","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","151","Antilles néerlandaises (ex)","5007","Area from MODIS","6970","Surfaces artificielles, y compris les zones urbaines et associées","2018","2018","1000 ha","0.6869","FC","Donnée calculée"
"LC","Occupation des sols","151","Antilles néerlandaises (ex)","5007","Area from MODIS","6971","Cultures herbacées","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","151","Antilles néerlandaises (ex)","5007","Area from MODIS","6972","Cultures ligneuses","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","151","Antilles néerlandaises (ex)","5007","Area from MODIS","6973","Cultures multiples ou étagées","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","151","Antilles néerlandaises (ex)","5007","Area from MODIS","6983","Prairie","2018","2018","1000 ha","0.966","FC","Donnée calculée"
"LC","Occupation des sols","151","Antilles néerlandaises (ex)","5007","Area from MODIS","6974","Zones arborées","2018","2018","1000 ha","0.0215","FC","Donnée calculée"
"LC","Occupation des sols","151","Antilles néerlandaises (ex)","5007","Area from MODIS","6975","Mangroves","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","151","Antilles néerlandaises (ex)","5007","Area from MODIS","6976","Zones arbustives","2018","2018","1000 ha","0.0215","FC","Donnée calculée"
"LC","Occupation des sols","151","Antilles néerlandaises (ex)","5007","Area from MODIS","6977","Végétation arbustive et/ou herbacée, aquatique ou régulièrement inondée","2018","2018","1000 ha","0.0859","FC","Donnée calculée"
"LC","Occupation des sols","151","Antilles néerlandaises (ex)","5007","Area from MODIS","6978","Zones à végétation naturelle clairsemée","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","151","Antilles néerlandaises (ex)","5007","Area from MODIS","6979","Terres stériles","2018","2018","1000 ha","0.2361","FC","Donnée calculée"
"LC","Occupation des sols","151","Antilles néerlandaises (ex)","5007","Area from MODIS","6980","Neige permanente et glaciers","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","151","Antilles néerlandaises (ex)","5007","Area from MODIS","6981","Étendues d’eau intérieures","2018","2018","1000 ha","77.4274","FC","Donnée calculée"
"LC","Occupation des sols","151","Antilles néerlandaises (ex)","5007","Area from MODIS","6982","Étendues d’eaux côtières et zones intertidales","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","194","Arabie saoudite","5007","Area from MODIS","6970","Surfaces artificielles, y compris les zones urbaines et associées","2018","2018","1000 ha","446.9838","FC","Donnée calculée"
"LC","Occupation des sols","194","Arabie saoudite","5007","Area from MODIS","6971","Cultures herbacées","2018","2018","1000 ha","357.4282","FC","Donnée calculée"
"LC","Occupation des sols","194","Arabie saoudite","5007","Area from MODIS","6972","Cultures ligneuses","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","194","Arabie saoudite","5007","Area from MODIS","6973","Cultures multiples ou étagées","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","194","Arabie saoudite","5007","Area from MODIS","6983","Prairie","2018","2018","1000 ha","1943.262","FC","Donnée calculée"
"LC","Occupation des sols","194","Arabie saoudite","5007","Area from MODIS","6974","Zones arborées","2018","2018","1000 ha","4.7654","FC","Donnée calculée"
"LC","Occupation des sols","194","Arabie saoudite","5007","Area from MODIS","6975","Mangroves","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","194","Arabie saoudite","5007","Area from MODIS","6976","Zones arbustives","2018","2018","1000 ha","3628.44","FC","Donnée calculée"
"LC","Occupation des sols","194","Arabie saoudite","5007","Area from MODIS","6977","Végétation arbustive et/ou herbacée, aquatique ou régulièrement inondée","2018","2018","1000 ha","0.3649","FC","Donnée calculée"
"LC","Occupation des sols","194","Arabie saoudite","5007","Area from MODIS","6978","Zones à végétation naturelle clairsemée","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","194","Arabie saoudite","5007","Area from MODIS","6979","Terres stériles","2018","2018","1000 ha","185381.248","FC","Donnée calculée"
"LC","Occupation des sols","194","Arabie saoudite","5007","Area from MODIS","6980","Neige permanente et glaciers","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","194","Arabie saoudite","5007","Area from MODIS","6981","Étendues d’eau intérieures","2018","2018","1000 ha","1006.6418","FC","Donnée calculée"
"LC","Occupation des sols","194","Arabie saoudite","5007","Area from MODIS","6982","Étendues d’eaux côtières et zones intertidales","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","9","Argentine","5007","Area from MODIS","6970","Surfaces artificielles, y compris les zones urbaines et associées","2018","2018","1000 ha","1669.379","FC","Donnée calculée"
"LC","Occupation des sols","9","Argentine","5007","Area from MODIS","6971","Cultures herbacées","2018","2018","1000 ha","34358.0955","FC","Donnée calculée"
"LC","Occupation des sols","9","Argentine","5007","Area from MODIS","6972","Cultures ligneuses","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","9","Argentine","5007","Area from MODIS","6973","Cultures multiples ou étagées","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","9","Argentine","5007","Area from MODIS","6983","Prairie","2018","2018","1000 ha","85141.1858","FC","Donnée calculée"
"LC","Occupation des sols","9","Argentine","5007","Area from MODIS","6974","Zones arborées","2018","2018","1000 ha","61855.8501","FC","Donnée calculée"
"LC","Occupation des sols","9","Argentine","5007","Area from MODIS","6975","Mangroves","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","9","Argentine","5007","Area from MODIS","6976","Zones arbustives","2018","2018","1000 ha","64412.9715","FC","Donnée calculée"
"LC","Occupation des sols","9","Argentine","5007","Area from MODIS","6977","Végétation arbustive et/ou herbacée, aquatique ou régulièrement inondée","2018","2018","1000 ha","2893.3413","FC","Donnée calculée"
"LC","Occupation des sols","9","Argentine","5007","Area from MODIS","6978","Zones à végétation naturelle clairsemée","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","9","Argentine","5007","Area from MODIS","6979","Terres stériles","2018","2018","1000 ha","22981.1","FC","Donnée calculée"
"LC","Occupation des sols","9","Argentine","5007","Area from MODIS","6980","Neige permanente et glaciers","2018","2018","1000 ha","255.0574","FC","Donnée calculée"
"LC","Occupation des sols","9","Argentine","5007","Area from MODIS","6981","Étendues d’eau intérieures","2018","2018","1000 ha","4724.7018","FC","Donnée calculée"
"LC","Occupation des sols","9","Argentine","5007","Area from MODIS","6982","Étendues d’eaux côtières et zones intertidales","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","1","Arménie","5007","Area from MODIS","6970","Surfaces artificielles, y compris les zones urbaines et associées","2018","2018","1000 ha","88.7184","FC","Donnée calculée"
"LC","Occupation des sols","1","Arménie","5007","Area from MODIS","6971","Cultures herbacées","2018","2018","1000 ha","433.6234","FC","Donnée calculée"
